,uri,genre,key,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo
0,spotify:track:40xhyfAPDoMtv494MfPevP,0,0.0,0.1716844766050413,0.4518290673404372,0.7950611752437919,1.3034623217922607e-06,0.8093204604530264,0.39662376734079896,0.20136730888750773,0.7319433420843763
1,spotify:track:1SJtlNRJDeYHioymcvsqev,0,0.5454545454545454,0.33533954365156043,0.30242777106448426,0.6192558108695936,0.0,0.8812198291867807,0.6022062510446264,0.604309094675782,0.2138531045851395
2,spotify:track:68EMU2RD1ECNeOeJ5qAXCV,0,0.09090909090909091,0.6234929439113823,0.7352521146874655,0.5650072984341267,0.0,0.8297205718529521,0.18602707671736587,0.3443132380360472,0.3041516576103547
3,spotify:track:0n4bITAu0Y0nigrz3MFJMb,0,0.6363636363636364,0.003350681874860962,0.8725694825881577,0.6011729733911046,8.075356415478616e-06,0.9062383958410696,0.03075380244024737,0.8529107105862854,0.4261127052933633
4,spotify:track:5huOzlgCK7PsMSG4TFBvKY,0,1.0,0.05070020924856551,0.6825222454135998,0.7377988565619101,0.0013441955193482687,0.8877413665057557,0.04262075881664717,0.5214418893722809,0.3467488857683618
5,spotify:track:2rmq49FcJ4U3wh1Z7C9UxE,0,0.36363636363636365,0.16967643897256868,0.6429748434582006,0.4806207235345116,0.0,0.8227812848124769,0.25789737589837874,0.6136316552724259,0.18150680749740522
6,spotify:track:70mIuBKGTPrWMwWq9D4F56,0,1.0,0.09015814872665263,0.7594199714379875,0.49267594852017094,0.0,0.823384701076866,0.15761323750626777,0.7161798218355085,0.3346236033945905
7,spotify:track:7mldq42yDuxiUNn08nvzHO,0,0.4545454545454546,0.44879366988626385,0.7396462704602877,0.45952407980960785,0.0,0.8489370590419607,0.014039779374895534,0.6643878185208204,0.297563953843336
8,spotify:track:575NJxNUVDqwJGdzBrlLbv,0,0.9090909090909092,0.09146337318775984,0.7110842579369437,0.8583511064185032,0.0,0.8918260304493131,0.3214106635467157,0.2831986741247151,0.34790890774772565
9,spotify:track:7COfe3P7KgfwDwIRB8LIDw,0,1.0,0.016864775141401743,0.537515104910469,0.7066561920156236,2.2912423625254582e-05,0.9043353137764576,0.09192712685943508,0.2780194737932463,0.33253556383173566
10,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,0,0.18181818181818182,0.013350709284574644,0.7099857189937382,0.7870243585866856,0.0,0.8662968808020796,0.415009192712686,0.3702092396933913,0.670584284754869
11,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0,0.09090909090909091,0.05913396730495054,0.852795781610458,0.6282972296088382,6.109979633401222e-05,0.8812430375046417,0.17098445595854922,0.34224155790345967,0.24928261798644602
12,spotify:track:3AYcyxEACnmE6d96RPubID,0,0.5454545454545454,0.06214602375365948,0.7934746786773591,0.5278370213950105,0.0,0.8545070553286298,0.45178004345645995,0.6654236585871142,0.273472128945601
13,spotify:track:6TIU9Ehmi6dMzZK73Ym4yj,0,0.9090909090909092,0.8534132528294981,0.5419092606832911,0.29075093001037755,0.0,0.886256034162644,0.03693799097442755,0.4779366065879428,0.17487026069967637
14,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,0,1.0,0.051302620538307295,0.7231681863122047,0.34801324869225925,2.474541751527495e-06,0.7783837727441516,0.06836035433728899,0.04070851460534493,0.21238781366383774
15,spotify:track:7py16W5fWYLFFS6BElKAjn,0,0.4545454545454546,0.043270470008416786,0.6001318246731846,0.7729599294367498,0.0,0.9320228369847754,0.03660371051312051,0.28837787445618396,0.4874351303498382
16,spotify:track:5O2P9iiztwhomNh8xkR9lJ,0,0.7272727272727273,0.8624494221756249,0.6737339338679555,0.521809408902181,0.0,0.8368223171184553,0.0210596690623433,0.36295835922933495,0.4261615483240735
17,spotify:track:3uhBIQ7tv8j1FME8cFGEfG,0,0.7272727272727273,0.9257026075985128,0.39909919806657146,0.2646312758747824,0.0,0.8526735982176012,0.015878321912084235,0.3225605966438782,0.4257280664265217
18,spotify:track:1A8j067qyiNwQnZT0bzUpZ,0,0.0,0.09306980329373794,0.80555860705262,0.7197160190834212,3.6558044806517306e-05,0.9061687708874862,0.027745278288484033,0.46239900559353636,0.43827461994016725
19,spotify:track:0b9oOr2ZgvyQu88wzixux9,0,0.4545454545454546,0.11746746052828037,0.8736680215313631,0.4645470902202992,0.0,0.8736771258819162,0.19104128363697143,0.5483737310959188,0.42630197203736486
20,spotify:track:3Vo4wInECJQuz9BIBMOu8i,0,0.4545454545454546,0.018571607129003475,0.7088871800505326,0.8623695147470563,0.0,0.9034301893798738,0.12853083737255555,0.9388854360886679,0.33527687893033753
21,spotify:track:1snWlbcbgQpJfknoI30DWG,0,0.36363636363636365,0.1646563448913871,0.40239481489618806,0.6443708629230506,0.0,0.8991830672112886,0.04596356342971753,0.09571162212554381,0.731473227913792
22,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,0,0.18181818181818182,0.08794930733093274,0.9318905855212567,0.6353294441838061,2.6476578411405295e-06,0.8972103601930933,0.269597192044125,0.3888543608866791,0.5843702301727821
